Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0225356081	599999.851	599999.851	599999.851	599999.851	0	0	0	0	0	0	3
2	3	0	0.0450712162	599999.63	599999.741	599999.63	599999.851	0.110371775	0	0	0	0	0	3
3	4	0	0.0676068243	599999.588	599999.69	599999.588	599999.851	0.161434032	0	0	0	0	0	3
4	4	0	0.0901424324	599999.652	599999.68	599999.588	599999.851	0.170829406	0	0	0	0	0	3
5	4	0	0.112678041	599999.771	599999.698	599999.588	599999.851	0.170829406	0	0	0	0	0	3
6	5	0	0.135213649	599999.88	599999.729	599999.588	599999.88	0.170829406	0	0	0	0	0	3
7	6	0	0.157749257	599999.96	599999.762	599999.588	599999.96	0.170829406	0	0	0	0	0	3
8	6	0	0.180284865	599999.988	599999.79	599999.588	599999.988	0.170829406	0	0	0	0	0	3
9	7	0	0.202820473	599999.987	599999.812	599999.588	599999.988	0.170829406	0	0	0	0	0	3
10	8	0	0.225356081	599999.98	599999.829	599999.588	599999.988	0.170829406	0	0	0	0	0	3
11	8	0	0.247891689	599999.979	599999.843	599999.588	599999.988	0.170829406	0	0	0	0	0	3
12	9	0	0.270427297	599999.99	599999.855	599999.588	599999.99	0.17444125	0	0	0	0	0	3
13	11	0	0.292962905	599999.988	599999.865	599999.588	599999.99	0.18468943	0	0	0	0	0	3
14	11	0	0.315498513	599999.988	599999.874	599999.588	599999.99	0.19347346	0	0	0	0	0	3
15	12	0	0.338034122	599999.991	599999.882	599999.588	599999.991	0.20126504	0	0	0	0	0	3
16	12	0	0.36056973	599999.993	599999.889	599999.588	599999.993	0.208206395	0	0	0	0	0	3
17	13	0	0.383105338	599999.988	599999.894	599999.588	599999.993	0.214035447	0	0	0	0	0	3
18	13	0	0.405640946	599999.998	599999.9	599999.588	599999.998	0.219767052	0	0	0	0	0	3
19	15	0	0.428176554	600000	599999.905	599999.588	600000	0.225022372	0	0	0	0	0	3
20	15	0	0.450712162	600000	599999.91	599999.588	600000	0.22975216	0	0	0	0	0	3
21	16	0	0.47324777	600000	599999.914	599999.588	600000	0.234031492	0	0	0	0	0	3
22	17	0	0.495783378	600000	599999.918	599999.588	600000	0.237921794	0	0	0	0	0	3
23	17	0	0.518318986	600000	599999.922	599999.588	600000	0.241473809	0	0	0	0	0	3
24	18	0	0.540854594	600000	599999.928	599999.588	600000	0.247942884	0	0	0	0	0	3
25	19	0	0.563390203	600000	599999.944	599999.588	600000	0.264009505	0	0	0	0	0	3
26	19	0	0.585925811	600000	599999.962	599999.652	600000	0.281937647	0	0	0	0	0	3
27	20	0	0.608461419	600000	599999.977	599999.771	600000	0.229192272	0	0	0	0	0	3
28	20	0	0.630997027	600000	599999.987	599999.88	600000	0.119898296	0	0	0	0	0	3
29	20	0	0.653532635	600000	599999.993	599999.96	600000	0.0395256665	0	0	0	0	0	3
30	21	0	0.676068243	600000	599999.994	599999.979	600000	0.0210704501	0	0	0	0	0	3
31	22	0	0.698603851	600000	599999.995	599999.979	600000	0.0210704501	0	0	0	0	0	3
32	22	0	0.721139459	600000	599999.995	599999.979	600000	0.0210704501	0	0	0	0	0	3
33	23	0	0.743675067	600000	599999.996	599999.979	600000	0.0210704501	0	0	0	0	0	3
34	24	0	0.766210676	600000	599999.997	599999.988	600000	0.0123178381	0	0	0	0	0	3
35	24	0	0.788746284	600000	599999.998	599999.988	600000	0.0123178381	0	0	0	0	0	3
36	25	0	0.811281892	600000	599999.998	599999.988	600000	0.0123178381	0	0	0	0	0	3
37	26	0	0.8338175	600000	599999.999	599999.988	600000	0.0123178381	0	0	0	0	0	3
38	26	0	0.856353108	600000	599999.999	599999.988	600000	0.0123178381	0	0	0	0	0	3
39	27	0	0.878888716	600000	599999.999	599999.988	600000	0.0123178381	0	0	0	0	0	3
40	27	0	0.901424324	600000	600000	599999.998	600000	0.00241379207	0	0	0	0	0	3
41	28	0	0.923959932	600000	600000	600000	600000	0	0	0	0	0	0	3
42	28	0	0.94649554	600000	600000	600000	600000	0	0	0	0	0	0	3
43	29	0	0.969031148	600000	600000	600000	600000	0	0	0	0	0	0	3
44	30	0	0.991566757	600000	600000	600000	600000	0	0	0	0	0	0	3
45	30	0	1.01410236	600000	600000	600000	600000	0	0.0123704182	0	100	0	0	3
46	30	0	1.03663797	600000	600000	600000	600000	0	0.0123704182	0	100	0	0	3
47	31	0	1.05917358	600000	600000	600000	600000	0	0.0123704182	0	100	0	0	3
48	31	0	1.08170919	600000	600000	600000	600000	0	0.0123704182	0	100	0	0	3
